job_role,course_name,course_link,difficulty_level,category,job_role_encoded,course_name_encoded,category_encoded
Cloud Security Consultant,SANS Institute: SEC540: Cloud Security and DevOps Automation,https://www.sans.org/courses/sec540-cloud-security-devops-automation,Advanced,Cloud Security,141,990,103
Cloud Security Forensics Engineer,Practical Cloud Security: Implementing Cloud Native Security for AWS,https://www.cloudacademy.com/course/practical-cloud-security-implementing-security-best-practices-on-aws-1419/,Intermediate,Cloud Security,142,922,103
Cloud Security Forensics Engineer,Cloud Forensics and Incident Response (CFI),https://www.sans.org/courses/cloud-forensics-incident-response,Advanced,Cloud Forensics,142,296,98
Cloud Solutions Architect,Cloud Computing Security,https://www.sans.org/cyber-security-courses/cloud-security-essentials/,Intermediate,Cloud Security,143,289,103
Cloud Storage Architect,Designing and Implementing Enterprise-Scale Data Infrastructure on AWS,https://www.aws.training/Details/eLearning?id=61048,Advanced,Cloud Computing,144,398,66
Cloud Storage Architect,Microsoft Azure Storage - Architect Technologies and Services,https://learn.microsoft.com/en-us/training/paths/architect-storage-infrastructure/,Intermediate,Cloud Computing,144,799,66
Cloud-Native SQL Performance Engineer,Performance Tuning and Optimization in Azure SQL Database,https://learn.microsoft.com/en-us/azure/azure-sql/database/performance-guidance?tabs=single-database,Advanced,Database Administration,145,915,226
Cloud-Native Storage Engineer,Architecting with Google Kubernetes Engine: Foundations,https://cloud.google.com/training/course/architecting-with-google-kubernetes-engine,Intermediate,"Cloud Computing, Containerization",146,139,77
Cloud-Native Storage Engineer,Certified Kubernetes Administrator (CKA),https://www.cncf.io/certification/cka/,Advanced,"Cloud Computing, Container Orchestration",146,270,75
Cloud-Native Storage Engineer,Persistent Storage with Kubernetes,https://kubernetes.io/docs/concepts/storage/persistent-volumes/,Intermediate,"Cloud Computing, Container Storage",146,917,76
Cloud-Native Storage Engineer,Container Storage Interface (CSI) Deep Dive,https://kubernetes-csi.github.io/docs/,Advanced,"Cloud Computing, Container Storage",146,324,76
Cloud-Native Test Engineer,Go Programming for Cloud-Native Development,https://www.udemy.com/course/go-the-complete-developers-guide/,Intermediate,Go Programming,147,511,332
Cloud-based Digital Twin Architect,Azure IoT Developer: Develop IoT solutions,https://learn.microsoft.com/en-us/certifications/azure-iot-developer-specialty/,Intermediate,"Cloud Computing, IoT",148,159,80
Cloud-based Digital Twin Architect,AWS IoT: Developing and Deploying an Internet of Things (IoT) Solution,https://www.aws.training/Details/eLearning?id=63003,Intermediate,"Cloud Computing, IoT",148,39,80
Cloud-based Digital Twin Architect,Developing and Deploying a Digital Twin Solution using AWS IoT SiteWise,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11137/developing-and-deploying-a-digital-twin-solution-using-aws-iot-sitewise,Intermediate,"Cloud Computing, Digital Twin",148,414,79
Cloud-based Digital Twin Architect,Introduction to Digital Twins,https://www.coursera.org/learn/digital-twins,Beginner,"Digital Twin, Simulation",148,632,269
Cloud-native DevSecOps Engineer,Istio Security: MTLS and Authorization,https://istio.io/latest/docs/tasks/security/,Intermediate,"DevSecOps, Service Mesh Security",149,691,266
Code Obfuscation Specialist,Compiler Design and Optimization,https://www.udacity.com/course/compiler-design--ud168,Advanced,Computer Science/Compiler Theory,150,310,120
Code Review Engineer,Code Review Best Practices,https://www.pluralsight.com/courses/code-review-best-practices,Intermediate,Software Engineering,151,303,519
Code Review Engineer,Clean Code: Writing Code for Humans,https://app.pluralsight.com/library/courses/clean-code-writing-code-humans/table-of-contents,Intermediate,Software Engineering,151,284,519
Code-Splitting Performance Engineer,Web Performance Optimization with webpack,https://webpack.academy/courses/web-performance-optimization-with-webpack,Intermediate,Web Development,152,1169,578
Code-Splitting Performance Engineer,Browser Rendering Optimization,https://www.udacity.com/course/browser-rendering-optimization--ud860,Intermediate,Web Development,152,184,578
Code-Splitting Performance Engineer,Advanced Performance Audits with Lighthouse,https://www.smashingmagazine.com/printed-books/smashing-book-6-new-frontiers-in-web-design/,Advanced,Web Development,152,83,578
Code-Splitting Performance Engineer,Profiling JavaScript Performance,https://developers.google.com/web/tools/chrome-devtools/evaluate-performance/reference,Intermediate,Web Development,152,941,578
Cognitive Computing Engineer,IBM Applied AI Professional Certificate,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,Intermediate,Artificial Intelligence,153,568,29
Cognitive Computing Engineer,Natural Language Processing Specialization,https://www.deeplearning.ai/natural-language-processing-specialization/,Intermediate,Natural Language Processing,153,861,407
Cognitive Computing Engineer,Building AI Powered Chatbots Without Programming,https://www.coursera.org/learn/building-ai-powered-chatbots,Beginner,Chatbot Development,153,191,62
Cognitive Robotics Engineer,Artificial Intelligence for Robotics,https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373,Intermediate,Robotics/AI,154,141,484
Compiler Engineer,Crafting Interpreters,http://craftinginterpreters.com/,Intermediate,Programming Languages,155,334,454
Compiler Engineer,LLVM for Grad Students,https://www.cs.cornell.edu/courses/cs6120/2020fa/self-guided/,Advanced,Compiler Construction,155,706,112
Compiler Engineer,"Compiler Design, IIT Kanpur",https://nptel.ac.in/courses/106104072,Intermediate,Computer Science,155,311,118
Compiler Optimization Engineer,LLVM for Grad Students,http://llvm.org/docs/tutorial/,Advanced,Compiler Development,156,706,114
Compiler Optimization Engineer,Advanced Compiler Design and Implementation,https://www.edx.org/course?search_query=compiler+design,Advanced,Computer Science,156,61,118
Compiler Optimization Engineer,High Performance Computing,https://nptel.ac.in/courses/106108055,Intermediate,Parallel Computing,156,551,435
Compliance & Regulatory Tester,Payment Card Industry Professional (PCIP),https://www.pcisecuritystandards.org/pci_security/,Intermediate,Payment Card Industry Compliance,157,907,437
Compliance Automation Tester,Learning Selenium,https://www.linkedin.com/learning/learning-selenium,Beginner,Test Automation,158,728,547
Compliance Automation Tester,Selenium Essential Training,https://www.linkedin.com/learning/selenium-essential-training,Intermediate,Test Automation,158,1017,547
Compliance Automation Tester,API Testing Foundations,https://www.linkedin.com/learning/api-testing-foundations,Intermediate,API Testing,158,16,20
Compliance Automation Tester,Risk Management for IT Projects,https://www.coursera.org/specializations/risk-management,Intermediate,Compliance,158,983,115
Computer Vision Engineer,Computer Vision Nanodegree,https://www.udacity.com/course/computer-vision-nanodegree--nd891,Intermediate,Computer Vision,159,322,123
Computer Vision Engineer,Convolutional Neural Networks for Visual Recognition,http://cs231n.stanford.edu/,Advanced,Computer Vision,159,332,123
Computer Vision Engineer,Practical Deep Learning for Coders,https://course.fast.ai/,Intermediate,Deep Learning,159,924,243
Computer Vision Engineer,Introduction to Computer Vision,https://www.udacity.com/course/introduction-to-computer-vision--ud810,Beginner,Computer Vision,159,620,123
Confidential Computing Engineer,Secure and Private AI Course,https://learn.udacity.com/courses/ud185,Intermediate,"Confidential Computing, Machine Learning",160,1008,125
Confidential Computing Engineer,Intel Software Guard Extensions (Intel- SGX) Training Series,https://software.intel.com/content/www/us/en/develop/articles/intel-sgx-training-series.html,Intermediate,"Confidential Computing, Software Development",160,602,126
Container Runtime Engineer,Deploying a Containerized Application with Docker,https://www.pluralsight.com/courses/deploying-containerized-application-docker,Advanced,DevOps/Containerization,161,387,259
Container Security Engineer,Kubernetes Security Specialist (CKS),https://training.linuxfoundation.org/certification/certified-kubernetes-security-specialist-cks/,Advanced,Cloud Security/DevOps,162,700,107
Continuous Deployment Engineer,AWS Certified DevOps Engineer - Professional,https://aws.amazon.com/certification/certified-devops-engineer-professional/,Advanced,Cloud Computing/DevOps,163,28,88
Continuous Integration/Continuous Deployment (CI/CD) Tester,Learning Git and GitHub,https://www.linkedin.com/learning/learning-git-and-github,Beginner,Software Development/Version Control,164,723,518
Continuous Testing Pipeline Engineer,Continuous Integration and Continuous Delivery (CI/CD) Fundamentals,https://www.edx.org/learn/devops,Intermediate,DevOps Engineering,165,325,252
Cross-Platform Cloud Engineer,"Multi-Cloud Security: AWS, Azure and GCP",https://www.cloudacademy.com/course/multi-cloud-security-aws-azure-and-gcp-2224/,Advanced,Cloud Security,166,840,103
Cryptanalysis Engineer,Cryptography and Cryptanalysis,https://ocw.mit.edu/courses/6-875-cryptography-and-cryptanalysis-spring-2005/,Advanced,Cryptography,167,340,138
Cryptanalysis Engineer,"Computational Number Theory & Cryptography, IIT Guwahati",https://nptel.ac.in/courses/106103015,Intermediate,Cryptography/Mathematics,167,315,140
Cryptanalysis Engineer,Introduction to Applied Cryptography,https://cacr.uwaterloo.ca/hac/,Advanced,Cryptography,167,614,138
Cryptography Engineer,Cryptography I,https://www.coursera.org/learn/crypto,Intermediate,Computer Science/Cryptography,168,339,121
Cryptography Engineer,Introduction to Applied Cryptography,https://www.udacity.com/course/intro-to-applied-cryptography--cs387,Intermediate,Computer Science/Cryptography,168,614,121
Cryptography Engineer,The Joy of Cryptography,https://joyofcryptography.com/,Intermediate,Computer Science/Cryptography,168,1105,121
Cryptography Engineer,Cryptography and Cryptanalysis,https://www.futurelearn.com/courses/cryptography,Beginner,Computer Science/Cryptography,168,340,121
Cryptography Engineer,Bitcoin and Cryptocurrency Technologies,https://www.coursera.org/learn/cryptocurrency,Intermediate,Computer Science,168,172,118
Custom Scripting Language Designer,Compilers,https://www.edx.org/course/compilers,Advanced,Compiler Design,169,312,113
Custom Scripting Language Designer,Introduction to Formal Languages and Automata Theory,https://www.udacity.com/course/intro-to-theoretical-computer-science--cs313,Intermediate,Theoretical Computer Science,169,636,548
Custom Scripting Language Designer,Practical Common Lisp,https://gigamonkeys.com/book/,Intermediate,Lisp Programming,169,923,370
Custom Scripting Language Developer,Crafting Interpreters,https://craftinginterpreters.com/,Intermediate,Programming Languages/Compiler Design,170,334,455
Custom Scripting Language Developer,Write An Interpreter In Go,https://interpreterbook.com/,Intermediate,Programming Languages/Go,170,1184,457
Custom Scripting Language Developer,Let's Build A Compiler,https://www.compilers.iecc.com/crenshaw/,Intermediate,Programming Languages/Compiler Design,170,729,455
Custom Scripting Language Developer,Programming Languages Part A,https://www.coursera.org/learn/programming-languages,Intermediate,Programming Languages/Functional Programming,170,943,456
Custom Scripting Language Developer,Principles of Programming Languages,https://ocw.mit.edu/courses/6-005-software-construction-spring-2016/,Intermediate,Programming Languages/Software Design,170,934,458
Cyber Deception Engineer,"Cyber Deception: Planning, Implementing, and Managing",https://www.sans.org/courses/cyber-deception-planning-implementing-managing,Intermediate,Cybersecurity,171,342,142
Cyber Deception Engineer,Threat and Vulnerability Management,https://www.sans.org/courses/vulnerability-assessment-penetration-testing,Intermediate,Cybersecurity,171,1117,142
Cyber Threat Intelligence Analyst,Certified Threat Intelligence Analyst (CTIA),https://www.eccouncil.org/programs/certified-threat-intelligence-analyst-ctia/,Intermediate,Cybersecurity,172,274,142
Cyber Threat Intelligence Analyst,Open Source Intelligence (OSINT) Fundamentals,https://www.cybrary.it/course/osint-fundamentals/,Beginner,Cybersecurity,172,890,142
Cyber Threat Intelligence Analyst,Introduction to Cyber Threat Intelligence,https://www.cybrary.it/course/cyber-threat-intelligence/,Beginner,Cybersecurity,172,622,142
Cyber Threat Simulation Engineer,Cyber Range: Attack and Defense,https://www.rangeforce.com/,Intermediate,Cybersecurity Simulation,173,343,151
Cyber-Physical Systems Developer,Real-Time Systems,https://www.coursera.org/learn/real-time-systems,Intermediate,Embedded Systems,174,967,291
Dark Mode UI Developer,CSS Essential Training,https://www.linkedin.com/learning/css-essential-training-3,Beginner,Web Development/CSS,175,253,591
Dark Mode UI Developer,Designing Dark Mode UIs for Maximum Impact,https://www.uxdesigninstitute.com/,Intermediate,UI/UX Design,175,391,552
Dark Mode UI Developer,Advanced CSS and JavaScript for Dark Mode Implementation,https://www.frontendmasters.com/,Advanced,Frontend Web Development,175,58,314
Dark Mode UI Developer,Accessibility in Dark Mode Design,https://www.udemy.com/,Intermediate,Accessibility and Inclusive Design,175,44,23
Dark Mode UI Developer,Human Interface Guidelines for Dark Mode (iOS and macOS),https://developer.apple.com/design/human-interface-guidelines/,Intermediate,Platform-Specific Design,175,562,447
Dark Mode UI Developer,Material Design for Dark Themes (Android),https://material.io/design/color/dark-theme.html,Intermediate,Platform-Specific Design,175,771,447
Dark Mode UI Specialist,Figma for Dark Mode UI Design,https://www.udemy.com/topic/figma/,Beginner,UI Design Tools,176,464,550
Dark Mode UI Specialist,Advanced Dark Mode Techniques with CSS,https://www.udemy.com/topic/css/,Advanced,Web Development,176,66,578
Dark Mode UI Specialist,Human Interface Guidelines for Dark Mode (iOS),https://developer.apple.com/design/human-interface-guidelines/ios/visual-design/dark-mode/,Intermediate,Mobile Development,176,563,398
Dark Web Intelligence Analyst,Cybersecurity: Understanding and Identifying Threats,https://www.futurelearn.com/courses/introduction-to-cyber-security,Beginner,Cybersecurity,177,350,142
Dark Web Intelligence Analyst,Network Security Fundamentals,https://www.cybrary.it/course/comptia-network-plus/,Intermediate,Network Security,177,873,418
Dark Web Intelligence Analyst,SANS Institute: SEC573: Automating Information Security with Python,https://www.sans.org/course/automating-information-security-with-python,Advanced,Cybersecurity/Automation,177,991,157
Data Analyst,Google Data Analytics Professional Certificate,https://www.coursera.org/professional-certificates/google-data-analytics,Beginner,Data Analysis,178,520,180
Data Analyst,Data Analysis with Python,https://www.freecodecamp.org/learn/data-analysis-with-python/,Intermediate,Data Analysis/Python Programming,178,355,181
Data Anonymization Engineer,Anonymization Techniques for Privacy Preserving Data Publishing,https://arxiv.org/abs/2202.00019,Advanced,Data Anonymization,179,114,183
Data Archiving Engineer,Apache Hadoop for Data Warehousing and Archiving,https://www.udemy.com/topic/hadoop/,Intermediate,Big Data/Data Archiving,180,119,41
Data Backup Engineer,Data Backup and Recovery with Commvault,https://www.commvault.com/services/training,Intermediate,Data Backup and Recovery,181,358,185
Data Backup Engineer,Veeam Certified Engineer (VMCE),https://propartner.veeam.com/certification,Intermediate,Data Backup and Recovery,181,1147,185
Data Compression Engineer,Information Theory,https://ocw.mit.edu/courses/6-441-information-theory-spring-2010/,Advanced,Information Theory,182,598,354
Data Compression Engineer,Coding Theory,https://ocw.mit.edu/courses/6-451-principles-of-digital-communication-ii-spring-2005/video_galleries/video-lectures/,Advanced,Coding Theory,182,304,111
Data Compression Engineer,Transform Coding,https://www.youtube.com/watch?v=Q2aEzeMDHMA&list=PLuh62Q4Sv7BUSzx5JrAz5WqKJo90H29pb,Intermediate,Signal Processing,182,1120,499
Data Curation Specialist,Research Data Management and Sharing,https://www.coursera.org/learn/data-management,Beginner,Data Management,183,978,192
Data Curation Specialist,Metadata and Data Quality,https://www.edx.org/learn/metadata,Intermediate,Data Quality,183,777,200
Data Curation Specialist,Python for Data Analysis,https://www.coursera.org/specializations/python,Intermediate,Data Analysis,183,952,180
Data Encryption Specialist,Cryptography and Network Security,https://nptel.ac.in/courses/106105031/,Intermediate,Network Security,184,341,418
Data Engineer,Building a Data Lake with AWS,https://www.aws.training/Details/eLearning?id=61011,Intermediate,Data Engineering,185,224,186
Data Engineer,Data Engineering Foundations Specialization,https://www.coursera.org/specializations/data-engineering-foundations,Beginner,Data Engineering,185,359,186
Data Engineer,The Ultimate Hands-On Hadoop: Tame your Big Data!,https://www.udemy.com/course/the-ultimate-hands-on-hadoop-tame-your-big-data/,Intermediate,Big Data,185,1111,39
Data Integration Engineer,Microsoft Azure Developer: Implementing Data Lake Storage Gen2,https://www.pluralsight.com/courses/microsoft-azure-data-lake-storage-gen2-implementing,Intermediate,Cloud Computing/Data Engineering,186,792,86
Data Integration Engineer,Snowflake â€“ The Complete Masterclass,https://www.udemy.com/course/snowflake-masterclass/,Intermediate,Data Warehousing/Cloud Computing,186,1039,223
Data Lineage Architect,Big Data Fundamentals with Apache Spark,https://cognitiveclass.ai/courses/big-data-fundamentals-spark,Intermediate,Big Data,187,165,39
Data Masking Engineer,Implementing Data Masking with Delphix,https://www.delphix.com/resources/webinars/masking-sensitive-data-with-delphix,Intermediate,Data Masking/Delphix,188,584,194
Data Masking Engineer,Learning SQL,https://www.khanacademy.org/computing/computer-programming/sql,Beginner,Database/SQL,188,726,237
Data Masking Engineer,Implementing Data Masking with Delphix,https://www.delphix.com/resources/datasheet/masking-engine-datasheet,Intermediate,Data Masking Tools/Delphix,188,584,193
Data Migration Specialist,ETL Processes for Data Migration with Informatica PowerCenter,https://www.udemy.com/topic/informatica-powercenter/,Advanced,Data Integration,189,439,191
Data Migration Specialist,ETL and Data Pipelines with Apache Airflow,https://www.udemy.com/topic/apache-airflow/,Intermediate,Data Engineering,189,440,186
Data Migration Specialist,Mastering Data Modeling for Data Migration,https://www.udemy.com/topic/data-modeling/,Advanced,Data Modeling,189,763,195
Data Monetization Strategist,Data Strategy,https://www.udacity.com/course/data-strategy-nanodegree--nd015,Advanced,Data Science/Business Strategy,190,367,208
Data Pipeline Architect,Building a Data Lake with AWS,https://www.aws.training/Details/eLearning?id=62515,Intermediate,Data Engineering,191,224,186
Data Pipeline Software Engineer,Apache Spark SQL and DataFrames,https://cognitiveclass.ai/courses/data-science-spark-sql-dataframe,Intermediate,Big Data,192,124,39
Data Pipeline Software Engineer,"Designing, Building, and Managing Data Lakes on AWS",https://www.aws.training/Details/eLearning?id=62847,Intermediate,Cloud Computing/Data Engineering,192,399,86
Data Pipeline Software Engineer,Building Scalable Data Pipelines with Apache Beam,https://www.cloudskillsboost.google/paths/118?utm_source=cloudskillsboost&utm_medium=website&utm_campaign=guided_paths,Advanced,Data Engineering,192,211,186
Data Privacy Engineer,Introduction to Differential Privacy,https://www.udacity.com/course/differential-privacy--ud110,Advanced,Data Privacy Techniques,193,630,198
Data Quality Assurance Engineer,Implementing Data Quality Rules and Monitoring,https://www.udemy.com/course/data-governance-masterclass/,Advanced,"Data Governance, Data Quality",194,585,190
Data Quality Assurance Engineer,Building a Data Quality Framework,https://www.edx.org/learn/data-analysis,Intermediate,"Data Quality, Data Engineering",194,226,201
Data Quality Assurance Engineer,Implementing Data Quality with dbt,https://courses.getdbt.com/courses/fundamentals,Advanced,"Data Quality, Data Engineering",194,586,201
Data Recovery Specialist,Computer Forensics Fundamentals,https://www.eccouncil.org/programs/computer-hacking-forensic-investigator-chfi/,Beginner,Digital Forensics,195,319,267
Data Replication Engineer,Data Replication with Kafka,https://www.confluent.io/training/,Intermediate,Data Engineering,196,363,186
Data Residency Compliance Engineer,CCPA Compliance for Businesses,https://www.privacyassociation.org/certification/ccpa-for-business-professionals/,Intermediate,Data Privacy and Compliance,197,248,199
Data Residency Compliance Engineer,Cloud Computing Security Knowledge (CCSK),https://www.cloudsecurityalliance.org/education/ccsk/,Intermediate,Cloud Security,197,290,103
Data Retention Specialist,Data Retention for Legal and Compliance Professionals,https://www.lorman.com/training/on-demand-cle/363626?utm_source=lorman&utm_medium=referral&utm_campaign=redirect&utm_term=363626&utm_content=productpage,Intermediate,Legal and Compliance,198,364,367
Data Scientist,Machine Learning,https://www.coursera.org/learn/machine-learning,Intermediate,Machine Learning,199,744,374
Data Scientist,Deep Learning Specialization,https://www.deeplearning.ai/deep-learning-specialization/,Intermediate,Deep Learning,199,381,243
Data Scientist,Python for Data Science and Machine Learning Bootcamp,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Beginner,Data Science,199,954,202
Data Scientist,SQL - MySQL for Data Analytics and Business Intelligence,https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/,Beginner,Data Analytics,199,998,182
Data Scientist,Data Visualization with Tableau Specialization,https://www.coursera.org/specializations/data-visualization,Intermediate,Data Visualization,199,372,220
Data Scientist,Statistics with R Specialization,https://www.coursera.org/specializations/statistics,Intermediate,Statistics,199,1065,526
Data Sharding Architect,NoSQL Databases,https://www.udemy.com/topic/nosql/,Intermediate,Database Administration,200,882,226
Data Sharding Architect,Cloud Computing Fundamentals,https://www.aws.training/learning-paths/cloud-practitioner,Beginner,Cloud Computing,200,288,66
Data Storytelling Specialist,Storytelling with Data,https://www.linkedin.com/learning/storytelling-with-data,Beginner,Data Storytelling,201,1067,218
Data Versioning Specialist,Version Control with Git,https://www.udacity.com/course/version-control-with-git--ud123,Beginner,Software Development/Version Control,202,1149,518
Data Versioning Specialist,Data Management with DVC,https://dvc.org/doc/get-started/dvc-data-management,Intermediate,Data Science/Data Versioning,202,361,209
Data Visualization Specialist,Data Visualization with Advanced Tableau,https://www.udemy.com/course/tableau-advanced/,Advanced,Data Visualization,203,370,220
Data Warehouse Engineer,SQL for Data Analysis,https://www.udacity.com/course/sql-for-data-analysis--ud198,Beginner,Data Analysis,204,1000,180
Data Warehouse Engineer,Apache Spark for Data Engineering and Analytics,https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,Intermediate,Big Data,204,126,39
Data Warehouse Engineer,AWS Certified Data Analytics Specialty DAS C01 Course,https://www.udemy.com/course/aws-certified-data-analytics-specialty/,Advanced,Cloud Data Warehousing,204,26,96
Data Wrangling Engineer,Data Wrangling and Visualization with Power BI,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/,Beginner,Data Wrangling/Business Intelligence,205,374,224
Data Wrangling Specialist,Mastering Data Wrangling with SQL,https://www.udemy.com/topic/sql/,Intermediate,Data Science,206,764,202
Database Administrator,SQL for Data Science,https://www.coursera.org/learn/sql-for-data-science,Intermediate,Database Administration,207,1001,226
Database Administrator,Performance Tuning and Optimization,https://www.udemy.com/topic/database-administration/,Intermediate,Database Administration,207,914,226
Database Administrator,MongoDB: The Complete Developer's Guide,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,Intermediate,Database Administration,207,831,226
Database Compliance Officer,Certified Data Privacy Professional (CDPP),https://iapp.org/certify/certifications/cdpp/,Advanced,Data Privacy and Compliance,208,260,199
Database Compliance Officer,PCI DSS Compliance Training,https://www.pcisecuritystandards.org/training/,Intermediate,Payment Card Industry Compliance,208,903,437
Database Developer,Database Design and Modeling,https://www.udemy.com/course/database-design/,Intermediate,Database Development,209,376,228
Database Performance Engineer,MongoDB Performance Tuning,https://university.mongodb.com/courses/M201/about,Intermediate,Database Administration,210,830,226
Database Query Optimizer,Understanding SQL Server Query Optimization,https://www.brentozar.com/training/fundamentals/,Intermediate,Database Administration,211,1131,226
Database Query Optimizer,MySQL Performance Tuning and Optimization,https://www.percona.com/training,Advanced,Database Administration,211,845,226
Database Recovery Engineer,MongoDB Disaster Recovery,https://university.mongodb.com/courses/M202/about,Intermediate,Database Administration,212,829,226
Decentralized Cloud Computing Engineer,Decentralized Finance (DeFi) Development,https://www.buildspace.so/p/defi-101,Intermediate,Blockchain and DeFi,213,379,54
Decentralized Data Ownership Engineer,Applied Cryptography Specialization,https://www.coursera.org/specializations/applied-crypto,Advanced,Cryptography,214,130,138
Decentralized Database Reliability Engineer,Decentralized Systems Engineering,https://ocw.mit.edu/courses/6-824-distributed-computer-systems-engineering-spring-2006/,Advanced,Distributed Systems,215,380,272
Decentralized Database Reliability Engineer,Decentralized Systems Engineering,https://www.edx.org/professional-certificate/uc-berkeleyx-blockchain-fundamentals,Intermediate,Software Engineering,215,380,519
Decentralized Identity Developer,Introduction to Decentralized Identifiers (DIDs),https://www.w3.org/TR/did-core/,Intermediate,Blockchain/Decentralized Identity,216,627,55
Decentralized Identity Developer,Verifiable Credentials Data Model 1.0,https://www.w3.org/TR/vc-data-model/,Intermediate,Blockchain/Decentralized Identity,216,1148,55
Decentralized Identity Developer,"Solidity, Blockchain, and Smart Contracts Course - Beginner to Expert Python Tutorial",https://www.udemy.com/course/complete-solidity-course-blockchain-zero-to-expert/,Beginner,Blockchain Development,216,1051,52
Decentralized Web Storage Engineer,"Solidity, the Smart Contract Programming Language",https://cryptozombies.io/,Beginner,Blockchain Development,217,1052,52
Decentralized Web Storage Engineer,Web3.Storage: Decentralized Storage for Web3,https://web3.storage/docs/,Beginner,Decentralized Storage,217,1172,242
Decentralized Web Storage Engineer,Building Web3 Applications with IPFS,https://www.buildspace.so/p/CO02cf0f1c-cf57-4289-9df8-03453915a208/lessons/LEa75f1b1a-2061-4a6b-a6ad-fd7f94ade313,Intermediate,Decentralized Storage,217,223,242
Decentralized Web Storage Engineer,Advanced Solidity: Secure and Efficient Smart Contracts,https://www.buildspace.so/solidity,Advanced,Blockchain Development,217,92,52
Decentralized Web Storage Engineer,Advanced Solidity Concepts: Building Decentralized Applications,https://eattheblocks.com/courses/advanced-solidity/,Advanced,Blockchain Development,217,90,52
Deep Learning Engineer,TensorFlow: Data and Deployment Specialization,https://www.coursera.org/specializations/tensorflow-data-and-deployment,Intermediate,Deep Learning,218,1083,243
Deep Learning Engineer,Convolutional Neural Networks in TensorFlow,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,Intermediate,Deep Learning,218,333,243
Deep Learning Engineer,Natural Language Processing in TensorFlow,https://www.coursera.org/learn/natural-language-processing-tensorflow,Intermediate,Deep Learning,218,862,243
Deep Learning Infrastructure Engineer,"Practical Deep Learning for Coders, Part 1",https://course.fast.ai/Lessons/lesson1.html,Intermediate,Deep Learning,219,925,243
Deep Learning Infrastructure Engineer,High-Performance Computing with CUDA,https://developer.nvidia.com/udacity-cs344-intro-parallel-programming,Intermediate,Parallel Computing,219,554,435
Deepfake Detection Engineer,Introduction to Deep Learning,https://www.deeplearning.ai/courses/deep-learning-specialization/,Intermediate,Deep Learning,220,628,243
Deepfake Detection Engineer,Convolutional Neural Networks,https://www.coursera.org/learn/convolutional-neural-networks,Intermediate,Deep Learning,220,331,243
Dependency Injection Engineer,Spring Framework 5: Beginner to Guru,https://www.udemy.com/course/spring-framework-5-beginner-to-guru/,Intermediate,Java Development,221,1060,363
Dependency Injection Engineer,Dependency Injection in .NET,https://app.pluralsight.com/library/courses/dependency-injection-net/table-of-contents,Intermediate,.NET Development,221,386,0
Dependency Injection Engineer,Hilt - Dependency Injection for Android,https://developer.android.com/training/dependency-injection/hilt-android,Intermediate,Android Development,221,557,27
Design Systems Engineer,Design Systems with React,https://www.newline.co/courses/design-systems-with-react,Intermediate,Web Development,222,390,578
Design Systems Engineer,Styling and CSS in React,https://www.newline.co/courses/styling-and-css-in-react,Intermediate,Web Development,222,1069,578
Design Systems Engineer,Storybook: Design System,https://storybook.js.org/tutorials/,Intermediate,Web Development,222,1066,578
Design Systems Engineer,Building Design Systems,https://www.designbetter.co/design-systems-handbook,Intermediate,Design,222,196,247
Design Systems Engineer,Design Systems with Figma,https://www.designbetter.co/courses/design-systems-with-figma,Intermediate,Design Systems,222,389,248
DevOps Engineer,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,https://www.udemy.com/course/docker-mastery/,Intermediate,DevOps,223,425,249
DevOps Engineer,Kubernetes Certified Application Developer (CKAD),https://www.udemy.com/course/certified-kubernetes-application-developer/,Advanced,DevOps,223,697,249
DevOps Engineer,Learn DevOps: Infrastructure Automation with Terraform,https://www.udemy.com/course/learn-devops-infrastructure-automation-with-terraform/,Intermediate,DevOps,223,709,249
DevOps Engineer,"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",https://www.udemy.com/course/jenkins-from-zero-to-hero/,Intermediate,DevOps,223,696,249
DevOps Engineer,Ansible for the Absolute Beginner - Hands-On - DevOps,https://www.udemy.com/course/ansible-for-the-absolute-beginner-hands-on-devops/,Beginner,DevOps,223,117,249
Digital Asset Management Engineer,Learning Cloud Computing: Core Concepts,https://www.linkedin.com/learning/learning-cloud-computing-core-concepts,Beginner,Cloud Computing,224,721,66
Digital Asset Management Engineer,SQL Essential Training,https://www.linkedin.com/learning/sql-essential-training,Intermediate,Databases,224,999,238
Digital Ethics & Compliance Specialist,Cybersecurity Awareness Training,https://www.knowbe4.com/security-awareness-training,Beginner,Cybersecurity & Risk Management,225,345,143
Digital Ethics & Compliance Specialist,Certified Information Privacy Professional (CIPP/E),https://iapp.org/certify/cipp/,Advanced,Data Privacy Certification,225,268,196
